epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,1192.7,0.838,0.55974,0.9527,0.83726,0.79795,0.85715,0.59349,0.81669,0.46358,0.93477,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964
28,1237.05,0.82328,0.55454,0.94898,0.8414,0.79782,0.85747,0.59529,0.81347,0.46183,0.93657,0.000829043,0.000276348,0.000829043,0.000276348,0.000829043,0.000276348,0.000829043,0.000276348
29,1279.45,0.82305,0.55027,0.94889,0.82971,0.80465,0.85655,0.59415,0.81335,0.45974,0.93503,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731
30,1323.12,0.82571,0.55058,0.94887,0.82501,0.80848,0.85472,0.59213,0.81651,0.46309,0.93597,0.000705343,0.000235114,0.000705343,0.000235114,0.000705343,0.000235114,0.000705343,0.000235114
31,1365.23,0.80611,0.57927,0.94607,0.82708,0.79555,0.84842,0.58371,0.82487,0.4716,0.93708,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497
32,1404.33,0.78176,0.55472,0.93788,0.82971,0.79744,0.85458,0.59099,0.82122,0.46763,0.93703,0.000581642,0.000193881,0.000581642,0.000193881,0.000581642,0.000193881,0.000581642,0.000193881
33,1443.54,0.77387,0.5472,0.93742,0.84688,0.78665,0.8561,0.59055,0.81717,0.45951,0.93678,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
34,1482.62,0.77289,0.54461,0.93411,0.84028,0.79329,0.8561,0.59136,0.81642,0.4578,0.93748,0.000457942,0.000152647,0.000457942,0.000152647,0.000457942,0.000152647,0.000457942,0.000152647
35,1521.38,0.77039,0.54191,0.93553,0.82384,0.80658,0.85518,0.59291,0.81366,0.45605,0.93711,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031
36,1560.07,0.76793,0.5343,0.93406,0.83897,0.79645,0.85655,0.59395,0.81397,0.45596,0.9374,0.000334241,0.000111414,0.000334241,0.000111414,0.000334241,0.000111414,0.000334241,0.000111414
37,1598.88,0.75714,0.53437,0.92908,0.82405,0.80785,0.85331,0.59223,0.81173,0.45306,0.93583,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05
38,1637.88,0.7556,0.52831,0.92869,0.84769,0.78906,0.85856,0.59507,0.81057,0.4525,0.93652,0.000210541,7.01802e-05,0.000210541,7.01802e-05,0.000210541,7.01802e-05,0.000210541,7.01802e-05
39,1676.52,0.75443,0.52883,0.92903,0.83852,0.79887,0.85739,0.5948,0.80939,0.45077,0.93547,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05
40,1715.49,0.74774,0.52564,0.92983,0.83794,0.798,0.85744,0.59489,0.80829,0.45027,0.93513,8.68403e-05,2.89468e-05,8.68403e-05,2.89468e-05,8.68403e-05,2.89468e-05,8.68403e-05,2.89468e-05
