epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.3529,1.32703,3.82554,1.10881,0.03181,0.41878,0.10882,0.07762,1.03952,inf,0.93564,0.000819565,0.000273188,0.000819565,0.000273188,0.000819565,0.000273188,0.000819565,0.000273188
2,122.738,1.25194,2.12604,1.05784,0.68824,0.29554,0.47492,0.30066,1.04832,1.35727,0.98554,0.00161166,0.000537221,0.00161166,0.000537221,0.00161166,0.000537221,0.00161166,0.000537221
3,164.022,1.06366,0.99246,1.0321,0.68767,0.5393,0.58649,0.35113,1.01414,0.82867,1.01218,0.00236253,0.00078751,0.00236253,0.00078751,0.00236253,0.00078751,0.00236253,0.00078751
4,205.49,1.00672,0.83609,1.01506,0.71019,0.63765,0.68525,0.4372,0.95038,0.67879,0.98044,0.00231345,0.00077115,0.00231345,0.00077115,0.00231345,0.00077115,0.00231345,0.00077115
5,247.413,0.98029,0.77544,1.00588,0.76949,0.71117,0.75847,0.49779,0.91055,0.60717,0.97407,0.0022516,0.000750533,0.0022516,0.000750533,0.0022516,0.000750533,0.0022516,0.000750533
6,287.167,0.97224,0.74124,1.00132,0.78485,0.72147,0.78868,0.52006,0.88922,0.57968,0.95744,0.00218975,0.000729916,0.00218975,0.000729916,0.00218975,0.000729916,0.00218975,0.000729916
7,329.57,0.94142,0.71479,0.99113,0.75835,0.76472,0.7938,0.52644,0.875,0.56053,0.95366,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299
8,369.405,0.92609,0.68888,0.98474,0.79294,0.74989,0.80175,0.53153,0.87814,0.55762,0.95659,0.00206605,0.000688683,0.00206605,0.000688683,0.00206605,0.000688683,0.00206605,0.000688683
9,409.068,0.92257,0.67455,0.98663,0.80936,0.76304,0.82037,0.54526,0.86801,0.54209,0.95117,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
10,451.493,0.91108,0.66308,0.9808,0.81579,0.7777,0.83142,0.56,0.85827,0.52785,0.95105,0.00194235,0.000647449,0.00194235,0.000647449,0.00194235,0.000647449,0.00194235,0.000647449
11,493.537,0.89993,0.65116,0.97637,0.80949,0.77967,0.83476,0.5595,0.85717,0.52733,0.94811,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832
12,535.947,0.89314,0.64094,0.97345,0.82679,0.75543,0.83884,0.56509,0.85792,0.51975,0.94695,0.00181865,0.000606216,0.00181865,0.000606216,0.00181865,0.000606216,0.00181865,0.000606216
13,577.855,0.89841,0.63701,0.97415,0.81711,0.7767,0.83798,0.56673,0.84785,0.50994,0.94567,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
14,621.611,0.88516,0.62656,0.96847,0.82519,0.77912,0.83833,0.5695,0.8558,0.50829,0.94338,0.00169495,0.000564982,0.00169495,0.000564982,0.00169495,0.000564982,0.00169495,0.000564982
15,665.371,0.88118,0.61768,0.96878,0.82196,0.7973,0.84281,0.57268,0.84288,0.5023,0.94421,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365
16,707.835,0.86991,0.6101,0.9651,0.81996,0.80062,0.8472,0.5798,0.8363,0.49521,0.9404,0.00157125,0.000523749,0.00157125,0.000523749,0.00157125,0.000523749,0.00157125,0.000523749
17,750.06,0.86338,0.60227,0.9642,0.83867,0.77915,0.84191,0.57579,0.83666,0.49048,0.943,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
18,792.468,0.87213,0.60388,0.96534,0.81353,0.78988,0.83728,0.56604,0.84366,0.49513,0.94453,0.00144755,0.000482515,0.00144755,0.000482515,0.00144755,0.000482515,0.00144755,0.000482515
19,832.247,0.86279,0.59447,0.96355,0.82831,0.78699,0.84706,0.58046,0.82467,0.48088,0.93804,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898
20,875.761,0.85127,0.58284,0.95836,0.82044,0.79056,0.84688,0.58425,0.82603,0.48285,0.93691,0.00132385,0.000441282,0.00132385,0.000441282,0.00132385,0.000441282,0.00132385,0.000441282
21,918.018,0.86072,0.58323,0.96011,0.82228,0.79825,0.84981,0.58068,0.82999,0.47808,0.93992,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665
22,962.363,0.85559,0.58149,0.95617,0.82248,0.80059,0.85153,0.58631,0.83221,0.47996,0.94091,0.00120014,0.000400048,0.00120014,0.000400048,0.00120014,0.000400048,0.00120014,0.000400048
23,1006.11,0.84101,0.57565,0.95331,0.82841,0.79738,0.85736,0.59167,0.82098,0.47143,0.93526,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431
24,1063.26,0.83681,0.57067,0.95488,0.84225,0.79568,0.85551,0.58666,0.82518,0.47279,0.93848,0.00107644,0.000358815,0.00107644,0.000358815,0.00107644,0.000358815,0.00107644,0.000358815
25,1106.05,0.83759,0.56752,0.95211,0.83079,0.7936,0.85572,0.59077,0.82119,0.47265,0.93766,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
26,1148.29,0.83676,0.56146,0.9542,0.84151,0.7952,0.85755,0.59341,0.81528,0.46554,0.93348,0.000952744,0.000317581,0.000952744,0.000317581,0.000952744,0.000317581,0.000952744,0.000317581
