epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2655.7,0.82857,0.52412,0.95832,0.83983,0.80231,0.86368,0.60128,0.84548,0.46585,0.97297,0.000705343,0.000235114,0.000705343,0.000235114,0.000705343,0.000235114,0.000705343,0.000235114
31,2739.93,0.7998,0.5274,0.95224,0.84534,0.79649,0.86364,0.6002,0.84946,0.47,0.97893,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497
32,2824.3,0.78552,0.51496,0.94725,0.82547,0.81164,0.86526,0.60293,0.84557,0.46357,0.97468,0.000581642,0.000193881,0.000581642,0.000193881,0.000581642,0.000193881,0.000581642,0.000193881
33,2907.81,0.7795,0.50914,0.94419,0.83686,0.7996,0.86417,0.60275,0.84303,0.46238,0.97118,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
34,2991.79,0.77403,0.50485,0.94093,0.81865,0.82238,0.86403,0.60126,0.84455,0.46038,0.9753,0.000457942,0.000152647,0.000457942,0.000152647,0.000457942,0.000152647,0.000457942,0.000152647
35,3074.79,0.76832,0.50111,0.94013,0.82577,0.81425,0.8659,0.60367,0.8408,0.45725,0.97325,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031
36,3159.77,0.76197,0.49687,0.93742,0.83534,0.8076,0.86675,0.60383,0.84019,0.45718,0.97355,0.000334241,0.000111414,0.000334241,0.000111414,0.000334241,0.000111414,0.000334241,0.000111414
37,3242.9,0.76021,0.49357,0.93666,0.83165,0.81655,0.86662,0.60609,0.83868,0.45498,0.971,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05
38,3327.35,0.75875,0.49064,0.93596,0.82093,0.82034,0.86675,0.60633,0.83739,0.45471,0.97203,0.000210541,7.01802e-05,0.000210541,7.01802e-05,0.000210541,7.01802e-05,0.000210541,7.01802e-05
39,3411.6,0.75554,0.48815,0.93518,0.83435,0.81198,0.86617,0.60536,0.8385,0.45391,0.97189,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05
40,3495.46,0.75269,0.4862,0.93328,0.83415,0.81384,0.86721,0.60762,0.8368,0.45223,0.97201,8.68403e-05,2.89468e-05,8.68403e-05,2.89468e-05,8.68403e-05,2.89468e-05,8.68403e-05,2.89468e-05
